CWE_ID,CWE_Name,Rank,Sample_Count
CWE-79,Cross-site Scripting,1,2
CWE-89,SQL Injection,3,36
CWE-22,Path Traversal,5,59
CWE-78,OS Command Injection,7,31
CWE-94,Code Injection,11,21
CWE-20,Improper Input Validation,12,27
CWE-502,Deserialization of Untrusted Data,16,3
CWE-918,Server-Side Request Forgery (SSRF),19,3
CWE-798,Use of Hard-coded Credentials,22,2
CWE-787,Out-of-bounds Write,2,100
CWE-125,Out-of-bounds Read,6,29
CWE-416,Use After Free,8,21
CWE-77,Command Injection,13,12
CWE-269,Improper Privilege Management,15,14
CWE-119,Memory Buffer Operations,20,8
CWE-476,NULL Pointer Dereference,21,8
CWE-190,Integer Overflow or Wraparound,23,8
CWE-400,Uncontrolled Resource Consumption,24,11
